iter	Passed	Remaining
0	59	59672
1	120	60323
2	182	60787
3	241	60203
4	300	59825
5	367	60910
6	437	62085
7	497	61673
8	560	61734
9	630	62405
10	693	62391
11	755	62206
12	821	62368
13	890	62729
14	955	62763
15	1017	62588
16	1083	62658
17	1152	62848
18	1220	62995
19	1307	64079
20	1385	64583
21	1454	64673
22	1523	64695
23	1597	64955
24	1673	65275
25	1743	65312
26	1806	65110
27	1862	64650
28	1922	64377
29	1981	64082
30	2037	63693
31	2101	63582
32	2173	63702
33	2245	63787
34	2306	63596
35	2375	63598
36	2434	63364
37	2496	63197
38	2553	62911
39	2620	62901
40	2695	63048
41	2754	62821
42	2819	62757
43	2905	63134
44	2989	63433
45	3089	64082
46	3186	64610
47	3253	64520
48	3325	64545
49	3396	64528
50	3486	64871
51	3556	64836
52	3636	64971
53	3708	64959
54	3768	64752
55	3829	64562
56	3901	64549
57	3987	64758
58	4057	64715
59	4128	64673
60	4192	64539
61	4256	64395
62	4314	64165
63	4395	64281
64	4462	64186
65	4537	64214
66	4608	64176
67	4669	63996
68	4747	64055
69	4807	63877
70	4881	63871
71	4949	63797
72	5015	63694
73	5077	63531
74	5135	63339
75	5191	63113
76	5243	62852
77	5294	62583
78	5363	62526
79	5427	62410
80	5487	62259
81	5548	62120
82	5607	61953
83	5687	62021
84	5762	62030
85	5817	61831
86	5876	61674
87	5935	61508
88	6024	61663
89	6139	62076
90	6201	61942
91	6272	61910
92	6388	62305
93	6453	62199
94	6536	62264
95	6623	62366
96	6695	62331
97	6776	62367
98	6842	62274
99	6907	62164
100	6992	62240
101	7068	62234
102	7140	62181
103	7244	62410
104	7331	62493
105	7426	62633
106	7513	62704
107	7617	62914
108	7705	62990
109	7785	62995
110	7849	62863
111	7913	62740
112	7985	62685
113	8086	62847
114	8167	62852
115	8247	62854
116	8320	62794
117	8412	62881
118	8480	62786
119	8545	62669
120	8606	62524
121	8716	62726
122	8782	62620
123	8846	62495
124	8913	62393
125	8976	62265
126	9047	62190
127	9119	62127
128	9202	62134
129	9263	61992
130	9333	61916
131	9425	61980
132	9485	61833
133	9555	61752
134	9623	61660
135	9703	61646
136	9785	61639
137	9860	61593
138	9942	61587
139	10048	61724
140	10141	61786
141	10221	61759
142	10287	61651
143	10350	61530
144	10411	61391
145	10470	61244
146	10535	61136
147	10619	61134
148	10680	61003
149	10761	60983
150	10824	60861
151	10879	60693
152	10932	60521
153	10987	60358
154	11047	60228
155	11109	60102
156	11174	60000
157	11246	59935
158	11323	59893
159	11387	59786
160	11452	59680
161	11510	59543
162	11572	59426
163	11630	59286
164	11686	59142
165	11744	59003
166	11805	58888
167	11870	58788
168	11947	58749
169	12013	58654
170	12069	58513
171	12123	58360
172	12173	58195
173	12242	58114
174	12312	58044
175	12384	57980
176	12440	57846
177	12499	57720
178	12553	57575
179	12612	57455
180	12668	57325
181	12740	57264
182	12826	57261
183	12887	57152
184	12948	57041
185	13015	56958
186	13080	56868
187	13140	56757
188	13199	56639
189	13261	56537
190	13329	56459
191	13388	56344
192	13450	56240
193	13509	56126
194	13574	56036
195	13626	55894
196	13685	55784
197	13748	55686
198	13803	55562
199	13859	55438
200	13923	55348
201	13995	55289
202	14049	55161
203	14113	55070
204	14172	54960
205	14231	54853
206	14301	54786
207	14369	54713
208	14433	54624
209	14491	54516
210	14557	54433
211	14625	54360
212	14695	54296
213	14750	54176
214	14809	54072
215	14874	53990
216	14931	53878
217	15001	53811
218	15056	53695
219	15123	53621
220	15181	53513
221	15250	53444
222	15320	53380
223	15377	53273
224	15450	53218
225	15501	53087
226	15563	52998
227	15619	52886
228	15685	52808
229	15745	52711
