,date,t,ff,u,brent,holidays,curfew,rush hour,Taux,bike
0,09/01/20 00:00,285.75,1.6,81,73.65,0,0,0,,10
1,09/01/20 01:00,285.75,1.6,81,73.65,0,0,0,,10
2,09/01/20 02:00,285.75,1.6,81,73.65,0,0,0,,10
3,09/01/20 03:00,283.95,1.1,88,73.65,0,0,0,,2
4,09/01/20 04:00,283.95,1.1,88,73.65,0,0,0,,2
5,09/01/20 05:00,283.95,1.1,88,73.65,0,0,0,,2
6,09/01/20 06:00,284.25,1.8,91,73.65,0,0,0,,14
7,09/01/20 07:00,284.25,1.8,91,73.65,0,0,0,,14
8,09/01/20 08:00,284.25,1.8,91,73.65,0,0,1,,14
9,09/01/20 09:00,291.25,2.9,60,75.5,0,0,1,,59
10,09/01/20 10:00,291.25,2.9,60,75.5,0,0,1,,59
11,09/01/20 11:00,291.25,2.9,60,75.5,0,0,0,,59
12,09/01/20 12:00,293.95,2.6,44,75.5,0,0,0,,47
13,09/01/20 13:00,293.95,2.6,44,75.5,0,0,0,,47
14,09/01/20 14:00,293.95,2.6,44,75.5,0,0,0,,47
15,09/01/20 15:00,293.65,4,41,75.5,0,0,0,,33
16,09/01/20 16:00,293.65,4,41,75.5,0,0,0,,33
17,09/01/20 17:00,293.65,4,41,75.5,0,0,1,,33
18,09/01/20 18:00,292.15,3,47,75.5,0,0,1,,113
19,09/01/20 19:00,292.15,3,47,75.5,0,0,1,,113
20,09/01/20 20:00,292.15,3,47,75.5,0,0,1,,113
21,09/01/20 21:00,289.35,2.7,53,75.5,0,0,0,,33
22,09/01/20 22:00,289.35,2.7,53,75.5,0,0,0,,33
23,09/01/20 23:00,289.35,2.7,53,75.5,0,0,0,,33
24,09/02/20 00:00,287.75,3.2,63,75.5,0,0,0,,18
25,09/02/20 01:00,287.75,3.2,63,75.5,0,0,0,,18
26,09/02/20 02:00,287.75,3.2,63,75.5,0,0,0,,18
27,09/02/20 03:00,285.45,1.4,76,75.5,0,0,0,,4
28,09/02/20 04:00,285.45,1.4,76,75.5,0,0,0,,4
29,09/02/20 05:00,285.45,1.4,76,75.5,0,0,0,,4
30,09/02/20 06:00,284.45,1.7,82,75.5,0,0,0,,12
31,09/02/20 07:00,284.45,1.7,82,75.5,0,0,0,,12
32,09/02/20 08:00,284.45,1.7,82,75.5,0,0,1,,12
33,09/02/20 09:00,291.05,2.3,57,76.44,0,0,1,,54
34,09/02/20 10:00,291.05,2.3,57,76.44,0,0,1,,54
35,09/02/20 11:00,291.05,2.3,57,76.44,0,0,0,,54
36,09/02/20 12:00,294.35,1.9,38,76.44,0,0,0,,46
37,09/02/20 13:00,294.35,1.9,38,76.44,0,0,0,,46
38,09/02/20 14:00,294.35,1.9,38,76.44,0,0,0,,46
39,09/02/20 15:00,295.55,2.6,37,76.44,0,0,0,,28
40,09/02/20 16:00,295.55,2.6,37,76.44,0,0,0,,28
41,09/02/20 17:00,295.55,2.6,37,76.44,0,0,1,,28
